AT1G01010	NAC001
AT1G01020	ARV1
AT1G03987	araport11
AT1G01030	NGA3
AT1G01040	DCL1
AT1G03993	araport11
AT1G01046	MIR838A
AT1G01050	PPA1
AT1G03997	araport11
AT1G01060	LHY
AT1G01070	araport11
AT1G04003	araport11
AT1G01080	araport11
AT1G01090	PDH-E1
AT1G01100	RPP1A
AT1G01110	IQD18
AT1G01120	KCS1
AT1G01130	araport11
AT1G01140	CIPK9
AT1G01150	araport11
AT1G01160	GIF2
AT1G04007	araport11
AT1G01170	araport11
AT1G04013	araport11
AT1G01180	araport11
AT1G01183	MIR165A
AT1G01190	CYP78A8
AT1G01200	RABA3
AT1G01210	araport11
AT1G04017	araport11
AT1G01220	FKGP
AT1G04023	araport11
AT1G01225	araport11
AT1G01230	araport11
AT1G01240	araport11
AT1G01250	ERF023
AT1G01260	BHLH13
AT1G01270	araport11
AT1G01280	CYP703A2
AT1G01290	CNX3
AT1G01300	APF2
AT1G01305	araport11
AT1G01310	araport11
AT1G01320	araport11
AT1G01335	AREP1
AT1G01340	CNGC10
AT1G01350	araport11
AT1G01355	araport11
AT1G01360	PYL9
AT1G01370	HTR12
AT1G01380	ETC1
AT1G01390	araport11
AT1G01400	araport11
AT1G01410	APUM22
AT1G01420	UGT72B3
AT1G01430	TBL25
AT1G01440	araport11
AT1G01448	araport11
AT1G01450	araport11
AT1G01453	araport11
AT1G01460	PIP5K10
AT1G01470	LEA14
AT1G01480	ACS2
AT1G01490	araport11
AT1G01500	araport11
AT1G01510	AN
AT1G01520	araport11
AT1G01530	AGL28
AT1G01540	araport11
AT1G01550	BPS1
AT1G01560	MPK11
AT1G01570	araport11
AT1G01580	FRO2
AT1G01590	FRO1
AT1G01600	CYP86A4
AT1G01610	GPAT4
AT1G01620	PIP1-3
AT1G01630	araport11
AT1G01640	araport11
AT1G01650	SPPL4
AT1G04027	araport11
AT1G01660	araport11
AT1G01670	PUB56
AT1G01680	PUB54
AT1G01690	ATPRD3
AT1G01695	araport11
AT1G04033	araport11
AT1G04037	araport11
AT1G01700	ATROPGEF2
AT1G01710	araport11
AT1G01715	araport11
AT1G04043	araport11
AT1G01720	NAC002
AT1G01725	araport11
AT1G04047	araport11
AT1G01730	araport11
AT1G01740	BSK4
AT1G01750	ADF11
AT1G04053	araport11
AT1G01760	araport11
AT1G04057	araport11
AT1G01770	araport11
AT1G01780	PLIM2B
AT1G01790	KEA1
AT1G04063	araport11
AT1G01800	araport11
AT1G01810	araport11
AT1G01820	PEX11C
AT1G01830	araport11
AT1G04067	araport11
AT1G01840	araport11
AT1G01860	PFC1
AT1G04073	araport11
AT1G01870	araport11
AT1G01880	GEN1
AT1G01890	araport11
AT1G01900	SBTI1.1
AT1G04077	araport11
AT1G01910	araport11
AT1G04083	araport11
AT1G01920	araport11
AT1G01930	araport11
AT1G01940	CYP18-1
AT1G01950	ARK2
AT1G01960	BIG3
AT1G01970	araport11
AT1G01980	SEC1A
AT1G01990	araport11
AT1G02000	GAE2
AT1G02010	SEC1A
AT1G02020	araport11
AT1G02030	ZAT1
AT1G02040	araport11
AT1G02050	PKSA
AT1G02060	araport11
AT1G02065	SPL8
AT1G02067	araport11
AT1G02070	araport11
AT1G02080	araport11
AT1G02090	CSN7
AT1G02100	LCMT1
AT1G02110	araport11
AT1G02120	VAD1
AT1G02130	RABD2A
AT1G04087	araport11
AT1G02140	MEE63
AT1G02145	ALG12
AT1G02150	araport11
AT1G02160	araport11
AT1G02170	AMC1
AT1G02180	araport11
AT1G02190	araport11
AT1G02205	CER1
AT1G04093	araport11
AT1G02210	araport11
AT1G02220	NAC003
AT1G02230	NAC004
AT1G02250	NAC005
AT1G02260	araport11
AT1G02270	araport11
AT1G02280	TOC33
AT1G02290	araport11
AT1G02300	CATHB1
AT1G02305	CATHB2
AT1G04097	araport11
AT1G02310	MAN1
AT1G04103	araport11
AT1G02320	araport11
AT1G02330	CSU2
AT1G02335	GL22
AT1G02340	HFR1
AT1G02350	araport11
AT1G02360	araport11
AT1G02370	araport11
AT1G02380	araport11
AT1G02390	GPAT2
AT1G02400	GA2OX6
AT1G02405	araport11
AT1G02410	COX11
AT1G02420	araport11
AT1G04117	araport11
AT1G02430	ATARFD1B
AT1G04123	araport11
AT1G02440	ATARFD1A
AT1G02450	NIMIN-1
AT1G02460	araport11
AT1G02470	araport11
AT1G02475	araport11
AT1G02480	araport11
AT1G02490	araport11
AT1G02500	SAM1
AT1G02510	TPK4
AT1G02520	ABCB11
AT1G02530	ABCB12
AT1G02540	araport11
AT1G02550	araport11
AT1G02560	CLPP5
AT1G02570	araport11
AT1G02575	araport11
AT1G02580	MEA
AT1G04127	araport11
