batch	genoype	Type	nb.of.rep	Length.max	Length.mean	Length.sd	Length.mean.sd	Width.max	Width.mean	Width.sd	Width.mean.sd	Area.max	Area.mean	Area.sd	Area.mean.sd	Perimeter.max	Perimeter.mean	Perimeter.sd	Perimeter.mean.sd	Aspect.ratio.max	Aspect.ratio.mean	Aspect.ratio.sd	Aspect.ratio.mean.sd	Circularity.max	Circularity.mean	Circularity.sd	Circularity.mean.sd
21	Col-0	WT	50	2.11	1.942	0.087	0.045	0.822	0.723	0.05	0.07	1.365	1.132	0.105	0.093	4.924	4.539	0.193	0.043	0.439	0.373	0.026	0.068	0.745	0.689	0.028	0.041
25	Col-0	WT	39	1.917	1.661	0.147	0.089	0.753	0.645	0.06	0.093	1.128	0.851	0.143	0.168	4.492	3.875	0.333	0.086	0.457	0.389	0.028	0.073	0.782	0.709	0.034	0.048
10	Col-0	WT	45	1.956	1.644	0.141	0.086	0.777	0.653	0.058	0.088	1.254	0.855	0.135	0.158	4.625	3.868	0.315	0.082	0.457	0.399	0.03	0.075	0.774	0.715	0.029	0.04
11	Col-0	WT	49	1.98	1.729	0.112	0.065	0.754	0.663	0.055	0.083	1.13	0.91	0.115	0.126	4.563	4.038	0.252	0.062	0.461	0.384	0.033	0.086	0.769	0.699	0.034	0.049
4	Col-0	WT	30	2.031	1.926	0.065	0.034	0.867	0.773	0.044	0.057	1.432	1.2	0.09	0.075	4.896	4.551	0.155	0.034	0.45	0.402	0.026	0.064	0.791	0.727	0.028	0.038
8	Col-0	WT	59	2.062	1.888	0.085	0.045	0.962	0.773	0.06	0.078	1.571	1.163	0.115	0.099	4.977	4.474	0.194	0.043	0.479	0.41	0.032	0.078	0.797	0.728	0.032	0.043
19	Col-0	WT	60	2.065	1.854	0.11	0.06	0.838	0.715	0.058	0.081	1.367	1.051	0.14	0.134	4.898	4.338	0.273	0.063	0.429	0.386	0.023	0.06	0.747	0.699	0.025	0.036
2	Col-0	WT	39	2.14	1.944	0.102	0.053	0.805	0.746	0.036	0.048	1.329	1.152	0.105	0.091	4.95	4.532	0.221	0.049	0.422	0.384	0.018	0.048	0.756	0.704	0.021	0.03
21B	Col-0	WT	49	2.15	1.921	0.099	0.052	0.779	0.701	0.044	0.062	1.33	1.09	0.109	0.1	4.919	4.477	0.223	0.05	0.414	0.365	0.022	0.061	0.73	0.682	0.027	0.039
29	Col-0	WT	60	2.165	1.982	0.11	0.056	0.828	0.75	0.047	0.063	1.419	1.198	0.117	0.098	5.048	4.651	0.24	0.052	0.441	0.379	0.026	0.069	0.758	0.695	0.028	0.04
1	Col-0	WT	42	2.17	1.965	0.09	0.046	0.904	0.795	0.053	0.067	1.478	1.25	0.099	0.079	5.089	4.648	0.179	0.038	0.472	0.405	0.032	0.08	0.796	0.727	0.037	0.051
22	Col-0	WT	30	2.18	1.841	0.161	0.088	0.849	0.67	0.056	0.084	1.49	0.998	0.165	0.165	5.115	4.291	0.361	0.084	0.417	0.365	0.027	0.073	0.737	0.678	0.031	0.046
14	Col-0	WT	59	2.198	1.97	0.139	0.071	0.971	0.764	0.068	0.089	1.621	1.198	0.166	0.139	5.198	4.612	0.319	0.069	0.451	0.388	0.027	0.069	0.768	0.705	0.025	0.036
9	Col-0	WT	49	2.213	1.976	0.102	0.052	0.841	0.735	0.043	0.058	1.351	1.17	0.098	0.084	4.999	4.604	0.211	0.046	0.452	0.373	0.027	0.072	0.774	0.693	0.031	0.044
24	Col-0	WT	76	2.219	1.882	0.19	0.101	0.878	0.72	0.068	0.094	1.479	1.084	0.199	0.184	5.157	4.391	0.424	0.097	0.46	0.384	0.025	0.066	0.774	0.702	0.03	0.043
31	Col-0	WT	65	2.229	1.93	0.115	0.06	0.88	0.754	0.052	0.069	1.555	1.157	0.136	0.117	5.207	4.526	0.255	0.056	0.441	0.391	0.023	0.059	0.775	0.707	0.025	0.035
15	Col-0	WT	60	2.233	1.968	0.129	0.065	0.872	0.759	0.057	0.075	1.458	1.186	0.144	0.121	5.266	4.609	0.292	0.063	0.476	0.386	0.029	0.075	0.805	0.7	0.032	0.045
5	Col-0	WT	40	2.252	1.943	0.112	0.058	0.836	0.718	0.048	0.067	1.393	1.116	0.117	0.105	5.152	4.515	0.247	0.055	0.434	0.37	0.024	0.065	0.76	0.687	0.028	0.04
7	Col-0	WT	39	2.253	2.02	0.114	0.056	1.022	0.824	0.061	0.074	1.682	1.332	0.129	0.097	5.254	4.786	0.244	0.051	0.498	0.409	0.034	0.083	0.806	0.73	0.033	0.046
20	Col-0	WT	60	2.265	1.935	0.116	0.06	0.902	0.741	0.058	0.078	1.428	1.146	0.109	0.095	5.225	4.537	0.235	0.052	0.478	0.384	0.038	0.099	0.795	0.7	0.042	0.06
23	Col-0	WT	51	2.279	2.033	0.106	0.052	1.066	0.793	0.065	0.082	1.677	1.3	0.134	0.103	5.264	4.794	0.23	0.048	0.545	0.391	0.035	0.088	0.805	0.709	0.03	0.042
18	Col-0	WT	29	2.288	2.107	0.1	0.048	0.958	0.839	0.053	0.064	1.755	1.425	0.141	0.099	5.491	4.984	0.23	0.046	0.437	0.398	0.021	0.054	0.769	0.72	0.022	0.03
33	Col-0	WT	60	2.293	2.026	0.146	0.072	0.894	0.79	0.06	0.076	1.575	1.273	0.154	0.121	5.349	4.771	0.312	0.065	0.468	0.391	0.033	0.085	0.781	0.701	0.036	0.052
N1	Col-0	WT	29	2.304	2.08	0.115	0.055	0.923	0.783	0.064	0.081	1.544	1.314	0.156	0.119	5.318	4.86	0.262	0.054	0.433	0.377	0.025	0.065	0.752	0.697	0.027	0.038
6	Col-0	WT	49	2.306	2.128	0.083	0.039	0.955	0.822	0.04	0.049	1.625	1.399	0.091	0.065	5.372	4.988	0.169	0.034	0.443	0.387	0.021	0.054	0.775	0.707	0.023	0.032
