Batch	Genotype	Gene_Name	Gene_ID	MutantType	Type	Nb.of.rep	Length.max	Length.mean	Length.sd	Length.mean.sd	Width.max	Width.mean	Width.sd	Width.mean.sd	Area.max	Area.mean	Area.sd	Area.mean.sd	Perimeter.max	Perimeter.mean	Perimeter.sd	Perimeter.mean.sd	Aspect.ratio.max	Aspect.ratio.mean	Aspect.ratio.sd	Aspect.ratio.mean.sd	Circularity.max	Circularity.mean	Circularity.sd	Circularity.mean.sd	LengthDiff	WidthDiff	AreaDiff	AspRatioDiff	Gene_CV2	Gene_meanExp	Length_CV2	Width_CV2	Area_CV2	AspectRatio_CV2
14	bglu42-a	BGLU42	AT5G36890	knockout	callose	58	2.185	1.983	0.104	0.053	0.921	0.77	0.054	0.07	1.541	1.219	0.13	0.106	5.119	4.648	0.237	0.051	0.474	0.389	0.028	0.072	0.786	0.707	0.033	0.046	0.00659899477157367	0.00785341314136126	0.0175292253589317	0.00257732958762887	0.0166323563761314	616.310226656094	0.00275056080567832	0.00491819868443245	0.0113731114073653	0.00518103898335327
21B	cc1	CC1	AT1G45688	knockout	cellulose	60	2.051	1.795	0.089	0.05	0.817	0.655	0.055	0.084	1.232	0.94	0.115	0.122	4.73	4.172	0.213	0.051	0.432	0.365	0.025	0.068	0.748	0.676	0.031	0.046	-0.0655908281051536	-0.0656205320827389	-0.137614668899083	1e-08	0.0692631950157039	3501.83853550809	0.00245839184984598	0.00705087116135423	0.01496717971933	0.00469131169074873
N1	cslc8	CSLC8	AT2G24630	knockout	cellulose	59	2.354	2.128	0.124	0.058	0.902	0.735	0.057	0.078	1.635	1.261	0.141	0.112	5.435	4.906	0.274	0.056	0.418	0.346	0.027	0.077	0.741	0.657	0.032	0.048	0.0230769330769231	-0.0613026719923372	-0.0403348454033487	-0.0822281067108754	0.112267819654309	460.646274201898	0.00339547176211205	0.00601416076634736	0.0125028221122795	0.00608941160747101
N1	csld5	CSLD5	AT1G02730	knockout	cellulose	50	2.356	2.085	0.134	0.064	0.879	0.731	0.058	0.08	1.547	1.213	0.159	0.131	5.424	4.803	0.3	0.063	0.397	0.351	0.022	0.064	0.717	0.658	0.027	0.04	0.0024038561538461	-0.066411228825032	-0.0768645257686453	-0.0689655072413794	0.0999421804867106	605.621952019915	0.00413045103485557	0.00629536960968334	0.0171819577549887	0.00392853954107515
18	cslg3-a	CSLG3	AT4G23990	knockout	cellulose	71	2.321	2.016	0.111	0.055	1.034	0.803	0.064	0.08	1.847	1.304	0.153	0.118	5.603	4.765	0.258	0.054	0.482	0.399	0.027	0.068	0.802	0.72	0.029	0.04	-0.0431893587707642	-0.0429082140762812	-0.0849122707017544	0.00251257281407035	0.15850753760537	946.669364746526	0.00303155116213152	0.00635226865629977	0.0137666312243592	0.00457911696534569
11	expa15	EXPA15	AT2G03090	knockout	cellulose	59	2.17	1.83	0.141	0.077	0.779	0.669	0.059	0.089	1.333	0.974	0.149	0.153	5.092	4.243	0.327	0.077	0.425	0.366	0.026	0.07	0.743	0.677	0.03	0.045	0.0584152789415847	0.00904978375565612	0.0703296803296703	-0.04687499	0.27091021258203	2413.03148360066	0.00593657618919645	0.00777771074780868	0.0234020888058726	0.00504643315715608
7	GALT29A-a	GALT29A	AT1G08280	knockout	hemicellulose	54	2.482	2.104	0.153	0.072	1.039	0.84	0.079	0.094	1.929	1.425	0.193	0.135	5.753	4.976	0.335	0.067	0.547	0.4	0.04	0.1	0.849	0.721	0.038	0.052	0.0415841684158416	0.0194174857281554	0.0698198298198198	-0.02200487997555	0.0454428351603318	292.907164041329	0.00528799932050485	0.00884495464852608	0.0183436134195137	0.01
N1	mur4	MUR4	AT1G30620	knockout	hemicellulose	49	2.207	1.983	0.115	0.058	0.886	0.724	0.05	0.069	1.396	1.148	0.116	0.101	5.077	4.592	0.248	0.054	0.472	0.366	0.026	0.072	0.801	0.683	0.03	0.044	-0.0466346053846154	-0.0753512032822478	-0.126331801263318	-0.0291777088328913	0.0691102656540769	430.896127498047	0.0033631810886738	0.00476939043374744	0.0102101518775267	0.00504643315715608
15	pme32-1	PME32	AT3G43270	knockout	pectin	60	2.272	1.976	0.145	0.073	0.954	0.771	0.063	0.082	1.628	1.216	0.164	0.135	5.242	4.639	0.321	0.069	0.529	0.391	0.033	0.085	0.84	0.708	0.033	0.047	0.00406505065040651	0.0158102866798419	0.0252951196121417	0.0129533778756477	0.502450729691112	3460.80147532883	0.00538470758412693	0.00667686111826069	0.0181894909972299	0.00712318731562457
18	pmei3	PMEI3	AT5G20740	knockout	pectin	59	2.211	1.968	0.12	0.061	0.933	0.77	0.067	0.086	1.599	1.223	0.159	0.13	5.264	4.644	0.275	0.059	0.49	0.392	0.031	0.08	0.797	0.71	0.032	0.045	-0.0659705642762222	-0.0822407528128724	-0.141754375964912	-0.0150753668844221	0.216049635161199	941.374619917662	0.0037180249851279	0.00757125990892225	0.0169021259867262	0.00625390462307372
