Sepal,Length,Width,LR423,TR423,AspectRatio,GaussianCurvature ,Area
D1,1447.77153030413,769.328091959798,1852.38001515342,276.661614314962,1.88186489669974,1.95128634968405E-06,872424.3
D2,1233.5469513249,757.693318734463,1054.4765935808,389.905163839082,1.62802933696872,2.43222679695088E-06,737472
D3,1401.08536424941,825.991278618467,863.349941808418,465.381431634601,1.69624716448923,2.48888072673781E-06,845562
D4,1117.64622353784,725.864558582594,1038.53357664419,309.217082835219,1.53974486055674,3.11398114854788E-06,627017
D6,1134.5529582178,766.521352600637,557.595357890735,269.63100110007,1.48013222902207,6.65136875988244E-06,655125
D7,1310.35740390225,710.014705522069,987.543174627644,305.55062133189,1.84553558357464,3.31406282466614E-06,707852
D8,1203.96712359709,707.864930538877,678.408824256564,253.374641708829,1.70084301630898,5.8176201862929E-06,653471
D10,1155.07579952208,606.958594665473,409.464252860823,212.747982928509,1.90305534788367,1.14793832619455E-05,517201
D11,1271.90618602288,623.141492514621,1332.12105513019,409.695383249615,2.04111939471441,1.83229432827511E-06,641415
D12,1109.15289175985,658.938066809989,914.787879195991,264.962284196635,1.68324300511187,4.12567999514591E-06,542085
E2,1362.12497642247,780.289225882981,1598.0770559701,766.487686662118,1.7456667748822,8.16388918894593E-07,850705
E3,1376.70406690151,823.981358551721,1532.71748323537,441.726806591883,1.67079516133871,1.47701237185103E-06,934750
E4,1087.58045139316,746.84238641981,802.860844360963,292.41095778691,1.45623825209864,4.25957313080271E-06,635676
E6,1250.56919083167,803.810373897005,1456.99863796658,1405.62515724422,1.55580125791199,4.88282694917094E-07,810773
E9,1294.6149206613,787.108171256509,1247.98690221856,649.83754987339,1.6447738289829,1.23306272620799E-06,801264
E10,1252.020782608,744.821179866014,886.455152027858,242.235336019143,1.68096828668758,4.65699461254606E-06,700580
E14,1122.54513296145,660.043057489791,899.170046888643,280.748739110717,1.70071500673093,3.96132390073482E-06,560993
E15,1133.48616665778,608.046631644314,942.030069053109,299.020249981904,1.86414348450964,3.55005134466775E-06,545864
E16,1235.44954937166,681.388460847346,737.381808809152,237.428589161068,1.81313541446726,5.71182073598873E-06,666697
E17,1180.51302849089,699.753044675859,567.77420805432,303.764481743146,1.68704236083421,5.79812198406181E-06,616067
F3,1342.66662602851,781.405065013725,858.625691579768,275.586989809306,1.71827223311501,4.22607703877571E-06,791768
F5,1328.67910718169,786.654225960107,872.714232891017,328.560539992809,1.68902557608464,3.48748651940661E-06,845541
F7,1269.18047400823,642.380633410939,1243.44076318189,324.359268259964,1.97574523264981,2.47941136430098E-06,667078
F9,1206.3450641328,687.865351136383,984.150210202818,241.435638484559,1.75375175118193,4.20859595482944E-06,614003
F11,1281.93189822965,655.540253744146,748.708480649217,238.560462962334,1.95553498188379,5.59872039063082E-06,648406
F14,1162.4294351384,717.27903078423,1286.68149584769,208.323694192514,1.62060981187122,3.73069956439988E-06,717997
F17,1291.7336026162,624.549093032897,1105.12550762677,313.761019791441,2.06826591700481,2.88396117241126E-06,659060
