Gene_Name	Genotype	Batch	Gene_ID	MutantType	Type	Nb.of.rep	Gene_CV2	Gene_meanExp	LengthDiff	WidthDiff	AreaDiff	AspRatioDiff	Length_CV2	Width_CV2	Area_CV2	AspectRatio_CV2
BGLU42	bglu42-a	14	AT5G36890	knockout	callose	58	0.017	616.310	0.00660	0.00785	0.01753	0.00258	0.00275	0.00492	0.01137	0.00518
CC1	cc1	21B	AT1G45688	knockout	cellulose	60	0.069	3501.839	-0.06559	-0.06562	-0.13761	0.00000	0.00246	0.00705	0.01497	0.00469
CESA6	prc1	24	AT5G64740	knockout	cellulose	54	0.080	10263.598	-0.07279	-0.00694	-0.09225	0.06771	0.00820	0.00931	0.03127	0.00372
CSLC8	cslc8	N1	AT2G24630	knockout	cellulose	59	0.112	460.646	0.02308	-0.06130	-0.04033	-0.08223	0.00340	0.00601	0.01250	0.00609
CSLD5	csld5	N1	AT1G02730	knockout	cellulose	50	0.100	605.622	0.00240	-0.06641	-0.07686	-0.06897	0.00413	0.00630	0.01718	0.00393
CSLG3	cslg3-a	18	AT4G23990	knockout	cellulose	71	0.159	946.669	-0.04319	-0.04291	-0.08491	0.00251	0.00303	0.00635	0.01377	0.00458
EXPA15	expa15	11	AT2G03090	knockout	cellulose	59	0.271	2413.031	0.05842	0.00905	0.07033	-0.04687	0.00594	0.00778	0.02340	0.00505
GALT29A	GALT29A-a	7	AT1G08280	knockout	hemicellulose	54	0.045	292.907	0.04158	0.01942	0.06982	-0.02200	0.00529	0.00884	0.01834	0.01000
MUR4	mur4	N1	AT1G30620	knockout	hemicellulose	49	0.069	430.896	-0.04663	-0.07535	-0.12633	-0.02918	0.00336	0.00477	0.01021	0.00505
PME32	pme32-1	15	AT3G43270	knockout	pectin	60	0.502	3460.801	0.00407	0.01581	0.02530	0.01295	0.00538	0.00668	0.01819	0.00712
PMEI3	pmei3	18	AT5G20740	knockout	pectin	59	0.216	941.375	-0.06597	-0.08224	-0.14175	-0.01508	0.00372	0.00757	0.01690	0.00625
PMR6	pmr6-a	9	AT3G54920	knockout	pectin	60	0.078	3478.760	-0.05820	0.01224	-0.05214	0.07507	0.00214	0.00334	0.00533	0.00560
POM2/CSI1	csi1-3	31	AT2G22125	knockout	cellulose	90	0.071	4276.715	-0.14197	0.02918	-0.11322	0.20716	0.00981	0.01010	0.02943	0.01309
XTH15	xth15	2	AT4G14130	knockout	hemicellulose	60	1.888	439.049	-0.06584	-0.02413	-0.08420	0.04427	0.00268	0.00472	0.01147	0.00274
XTH6	xth6-2	11	AT5G65730	knockout	hemicellulose	39	0.190	16896.672	0.04049	0.02262	0.07363	-0.01302	0.01376	0.01128	0.05071	0.00669
XTH9	xth9	11	AT4G03210	knockout	hemicellulose	54	0.539	4343.474	-0.00521	-0.00905	-0.01758	-0.00260	0.00876	0.00979	0.03531	0.00534
